,hh_key,hhincome_eq_percapita
1310,10-634511,low
1311,10-634547,low
1312,10-634549,medium
1313,10-634555,medium
1314,10-634556,medium
1315,10-634570,high
1316,10-634574,high
1317,10-634583,medium
1318,10-634584,low
1319,10-635504,high
1320,10-635511,medium
1321,10-635554,low
1322,10-635555,low
1323,10-635558,low
1324,10-635578,high
1325,10-635597,low
1326,10-636504,high
1327,10-636508,medium
1328,10-636514,high
1329,10-636529,high
1330,10-636533,medium
1331,10-636549,high
1332,10-636571,medium
1333,10-636602,high
1334,10-636606,medium
1335,10-636609,high
1336,10-637501,high
1337,10-637509,medium
1338,10-637517,medium
1339,10-637547,medium
1340,10-637548,medium
1341,10-637553,high
1342,10-637579,low
1343,10-637590,high
1344,10-637602,high
1345,10-637604,medium
1346,10-638503,medium
1347,10-638511,low
1348,10-638524,medium
1349,10-638530,low
1350,10-638531,low
1351,10-638556,low
1352,10-638565,low
1353,10-638567,low
1354,10-638579,medium
1355,10-638582,medium
1356,10-638587,low
1357,10-638595,low
1358,10-638598,high
1359,10-639512,medium
1360,10-639527,high
1361,10-639535,medium
1362,10-639536,high
1363,10-639563,high
1364,10-639567,low
1365,10-639583,medium
1366,10-639596,medium
1367,10-639602,high
1368,10-640517,high
1369,10-640519,high
1370,10-640529,high
1371,10-640537,high
1372,10-640545,low
1373,10-640555,medium
1374,10-640566,high
1375,10-640594,high
1376,10-641510,high
1377,10-641513,medium
1378,10-641530,low
1379,10-641538,medium
1380,10-641541,medium
1381,10-641553,low
1382,10-641557,medium
1383,10-641559,medium
1384,10-641582,medium
1385,10-641583,low
1386,10-641609,low
1387,10-642502,medium
1388,10-642509,high
1389,10-642516,medium
1390,10-642524,high
1391,10-642538,low
1392,10-642542,high
1393,10-642551,high
1394,10-642553,low
1395,10-642571,medium
